Date,Title,Director,Producer,Production Cost,Singapore Gross,Year
24 July 2015,7 Letters,"Boo Junfeng, Eric Khoo, K Rajagopal, Jack Neo, Tan Pin Pin, Royston Tan, Kelvin Tong","Melvin Ang, Ric Aw, Fran Borgia, Kent Chan, Leon Cheo, Jeremy Chua, Tan Fong Cheng, Kat Goh, Huang Junxiang, Jacqueline Khoo, Karen Khoo, Sock Leng Ling, Jack Neo, Yue Weng Pok, Royston Tan, Leon Tong, Soo Wei Toong",$3.1 million,"US$$232,027",2015
30 July 2015,1965,"Randy Ang, Daniel Yun","Daniel Yun, Ng Say Yong",$2.8 million,"US$$436,690",2015
3 September 2015,1400[3],Derrick Lui,Derrick Lui,,,2015
10 September 2015,The Return[4],Green Zeng,June Chua,,,2015
17 September 2015,3688《想入飞飞》,Royston Tan,"Melvin Ang, Royston Tan, Bert Tan, Zheng Le, Ng Say Yong, Karen Khoo, Soo Wei Toong",$1.4 million,"US$330,980",2015
19 September 2015,1987: Untracing the Conspiracy[5],Jason Soo,,,,2015
28 September 2015,In the Room[6],Eric Khoo,Nansun Shi,"$800,000","S$48,000",2015
30 October 2015,Fragment,"Kan Lume, Wesley Leon Aroozoo, Sherman Ong, U-Wei Haji Saari, Tan Chui Mui, Lucky Kuswandi, Phan Dang Di, Kavich Neang, Nawapol Thamrongrattanarit and Lav Diaz",Asian Film Archive,,,2015
5 November 2015,"Distance 《再见, 在也不见》[7]","Xin Yukun, Tan Shijie & Sivaroj Kongsakul",Giraffe Pictures,,,2015
27 November 2015,Voluptas[8],Sanif Olek,,,,2015
29 November 2015,The Songs We Sang[9],Eva Tang,Eva Tang,"$35,000[10]","S$115,000[11]",2015
30 November 2015,Singapore Minstrel[12],Ng Xi Jie,Ng Xi Jie,,,2015
3 December 2015,Mr. Unbelievable,Ong Kuo Sin,"Ong Kuo Sin, Ng Say Yong",$1 million,"S$560,000",2015
4 February 2016,Long Long Time Ago《我们的故事》,Jack Neo,Thum,$2.5 million,"$4,006,800[13]",2016
5 February 2016,Let's Eat!《开饭啦!》,Chapman To,Chapman To,,"US$489,850[14]",2016
6 March 2016,Temporary Visa[15],Ghazi Alqudcy,WideWall Studio and film.factory,,,2016
31 March 2016,The Faith of Anna Waters / The Offering,Kelvin Tong,Boku Films and PEP Pictures,US$5 million[16],,2016
31 March 2016,Long Long Time Ago 2 《我们的故事2》,Jack Neo,Thum,$2.5 million,S$2.32 million[17],2016
16 May 2016,Apprentice[18],Boo Junfeng,"Akanga Film Asia, Peanut Pictures, Zhao Wei Films, augenschein Filmproduktion, Cinema Defacto, Making Film Productions and Sun Culture Entertainment",,,2016
18 May 2016,A Yellow Bird[19],K Rajagopal,Akanga Film Asia,"€400,000[20]",,2016
26 May 2016,Young & Fabulous《最佳伙扮》,"Michael Woo, Joyce Lee","Encore Films, Golden Village Pictures, Singapore Film Commission and SIMF Management",$1.2 million[21],,2016
8 September 2016,My Love Sinema,Tan Ai Leng,FLY Entertainment,,,2016
24 November 2016,Lulu The Movie 《露露的电影》,Michelle Chong,Huat Films,S$1.5 million,"S$650,000",2016
1 December 2016,4Love《爱在小红点》,"M. Raihan Halim, Gilbert Chan, Sam Loh, Daniel Yam",mm2 Entertainment,,,2016
26 January 2017,The Fortune Handbook 《财神爷》,Kelvin Sng,mm2 Entertainment,$1.3 million,$1 million,2017
26 January 2017,Take 2 《遇见贵人》,Ivan Ho,mm2 Entertainment,$1.2 million,$1.5 million,2017
23 February 2017,Siew Lup,Sam Loh,mm2 Entertainment,"$800,000",,2017
24 February 2017,Chennai2Singapore,Abbas Akbar,Media Development Authority,,,2017
30 March 2017,Goodbye Mr. Loser 《令伯特烦恼》,Adrian Teh,Asia Tropical Films/mm2 Entertainment,"$853,000",,2017
13 April 2017,Pop Aye,Kirsten Tan,Anthony Chen,,,2017
18 May 2017,Lucky Boy《天公仔》,Boris Boo,Clover Films/mm2 Entertainment,$2.5 million,"$40,000",2017
3 August 2017,Wonder Boy,"Dick Lee, Daniel Yam",mm2 Entertainment/Bert Pictures,$1.3 million,,2017
1 October 2017,In Time To Come,Tan Pin Pin,,,,2017
9 November 2017,Ah Boys to Men 4,Jack Neo,"J Team, mm2 Entertainment",$5 million,,2017
15 February 2018,Wonderful! Liang Xi Mei 《旺得福梁细妹》,Jack Neo,mm2 Entertainment,,,2018
29 March 2018,Ramen Teh,Eric Khoo,MK2 Films,,,2018
5 April 2018,The Wayang Kids 《戏曲总动员》,Raymond Tan,Brainchild Pictures,,,2018
Mid-2018,A Land Imagined,Yeo Siew Hua,,,,2018
21 June 2018,A Simple Wedding 《简单的婚礼》,Lee Thean-jeen,"Clover Films, mm2 Entertainment, Weiyu Films",$1.5 million,,2018
19 July 2018,Buffalo Boys,Mike Wiluan,,,,2018
9 August 2018,23:59: The Haunting Hour,Gilbert Chan,Clover Films/mm2 Entertainment,,,2018
